,0,entrance_fee_type,cost
149,deto,Commercial Entrance - Sedan,25.00
150,deto,Commercial Entrance - Van,40.00
151,deto,Commercial Entrance - Mini-bus,40.00
152,deto,Commercial Entrance - Motor Coach,100.00
153,deva,Entrance - Private Vehicle,30.00
154,deva,Entrance - Motorcycle,25.00
155,deva,Entrance - Per Person,15.00
156,deva,Commercial Entrance - Per Person,10.00
157,deva,Commercial Entrance - Sedan,25.00
158,deva,Commercial Entrance - Van,75.00
159,deva,Commercial Entrance - Mini-bus,100.00
160,deva,Commercial Entrance - Motor Coach,200.00
161,deva,Entrance - Non-commercial Groups,15.00
162,deva,Entrance - Education/Academic Groups,0.00
163,dewa,Entrance - Private Vehicle,10.00
164,dino,Entrance - Private Vehicle,25.00
165,dino,Entrance - Motorcycle,20.00
166,dino,Entrance - Per Person,15.00
167,dino,Commercial Entrance - Van,50.00
168,dino,Commercial Entrance - Mini-bus,60.00
169,dino,Commercial Entrance - Motor Coach,150.00
170,dino,Entrance - Non-commercial Groups,25.00
171,dino,Entrance - Education/Academic Groups,0.00
172,dino,Commercial Entrance - Sedan,25.00
173,dino,Commercial Entrance - Per Person,15.00
174,drto,Entrance - Per Person,15.00
175,edis,Timed Entry Reservation - Location,1.00
176,edis,Entrance - Education/Academic Groups,10.00
177,edis,Entrance - Per Person,15.00
178,elis,Timed Entry Reservation - Location,0.00
179,elis,Timed Entry Reservation - Location,0.00
180,elis,Timed Entry Reservation - Location,0.00
181,ever,Entrance - Private Vehicle,35.00
182,ever,Entrance - Motorcycle,30.00
183,ever,Entrance - Per Person,20.00
184,ever,Entrance - Education/Academic Groups,0.00
185,ever,Commercial Entrance - Motor Coach,300.00
186,ever,Commercial Entrance - Mini-bus,200.00
187,ever,Commercial Entrance - Van,125.00
188,flfo,Entrance - Per Person,10.00
189,foda,Entrance - Per Person,10.00
190,foda,Entrance - Motorcycle,15.00
191,foda,Entrance - Private Vehicle,20.00
192,foda,Commercial Entrance - Sedan,20.00
193,foda,Commercial Entrance - Van,40.00
194,foda,Commercial Entrance - Mini-bus,40.00
195,foda,Commercial Entrance - Motor Coach,100.00
196,foma,Timed Entry Reservation - Location,0.00
197,fomc,Entrance - Per Person,15.00
198,fomc,Entrance - Non-commercial Groups,15.00
199,fomc,Commercial Entrance - Per Person,15.00
200,fopu,Entrance - Per Person,10.00
201,fopu,Commercial Entrance - Per Person,10.00
202,fosu,Entrance - Per Person,10.00
203,foth,Timed Entry Reservation - Location,3.50
204,fova,Entrance - Per Person,10.00
205,frdo,Timed Entry Reservation - Location,1.00
206,glac,Entrance - Private Vehicle,35.00
207,glac,Entrance - Per Person,20.00
208,glac,Entrance - Motorcycle,30.00
209,glac,Commercial Entrance - Sedan,25.00
210,glac,Commercial Entrance - Van,75.00
211,glac,Commercial Entrance - Mini-bus,100.00
212,glac,Commercial Entrance - Motor Coach,200.00
213,glca,Entrance - Private Vehicle,30.00
214,glca,Entrance - Motorcycle,25.00
215,glca,Entrance - Per Person,15.00
216,glca,Commercial Entrance - Van,40.00
217,glca,Commercial Entrance - Mini-bus,40.00
218,glca,Commercial Entrance - Motor Coach,100.00
219,glca,Entrance - Education/Academic Groups,0.00
220,gosp,Entrance - Private Vehicle,20.00
221,gosp,Entrance - Motorcycle,15.00
222,gosp,Entrance - Per Person,10.00
223,grca,Entrance - Private Vehicle,35.00
224,grca,Entrance - Motorcycle,30.00
225,grca,Entrance - Per Person,20.00
226,grfa,Entrance - Private Vehicle,20.00
227,grfa,Entrance - Motorcycle,15.00
228,grfa,Entrance - Per Person,10.00
229,grfa,Entrance - Non-commercial Groups,100.00
230,grfa,Commercial Entrance - Van,40.00
231,grfa,Commercial Entrance - Mini-bus,40.00
232,grfa,Commercial Entrance - Sedan,25.00
233,grfa,Commercial Entrance - Motor Coach,100.00
234,grsa,Entrance - Private Vehicle,25.00
235,grsa,Entrance - Non-commercial Groups,15.00
236,grsa,Entrance - Motorcycle,20.00
237,grsa,Commercial Entrance - Sedan,25.00
238,grsa,Commercial Entrance - Van,40.00
239,grsa,Commercial Entrance - Mini-bus,40.00
240,grsa,Commercial Entrance - Motor Coach,100.00
241,grte,Entrance - Private Vehicle,35.00
242,grte,Entrance - Motorcycle,30.00
243,grte,Entrance - Per Person,20.00
244,grte,Commercial Entrance - Sedan,25.00
245,grte,Commercial Entrance - Van,125.00
246,grte,Commercial Entrance - Mini-bus,200.00
247,grte,Commercial Entrance - Motor Coach,300.00
248,grte,Entrance - Education/Academic Groups,0.00
249,guis,Entrance - Private Vehicle,25.00
250,guis,Entrance - Motorcycle,20.00
251,guis,Entrance - Per Person,15.00
252,gumo,Entrance - Per Person,10.00
253,gumo,Entrance - Education/Academic Groups,0.00
254,hafe,Entrance - Private Vehicle,20.00
255,hafe,Entrance - Motorcycle,15.00
256,hafe,Entrance - Per Person,10.00
257,hale,Entrance - Motorcycle,25.00
258,hale,Entrance - Private Vehicle,30.00
259,hale,Entrance - Per Person,15.00
260,hale,Commercial Entrance - Per Person,15.00
261,hale,Commercial Entrance - Sedan,30.00
262,hale,Commercial Entrance - Van,45.00
263,hale,Timed Entry Reservation - Park & Location,1.00
264,havo,Entrance - Private Vehicle,30.00
265,havo,Entrance - Motorcycle,25.00
266,havo,Entrance - Per Person,15.00
267,havo,Commercial Entrance - Sedan,25.00
268,havo,Commercial Entrance - Mini-bus,100.00
269,havo,Commercial Entrance - Motor Coach,200.00
270,havo,Commercial Entrance - Per Person,15.00
271,havo,Commercial Entrance - Van,75.00
272,hofr,Entrance - Per Person,10.00
273,hove,Entrance - Private Vehicle,20.00
274,hove,Entrance - Motorcycle,15.00
275,hove,Entrance - Per Person,10.00
276,inde,Timed Entry Reservation - Location,1.00
277,indu,Entrance - Motorcycle,20.00
278,indu,Entrance - Private Vehicle,25.00
279,indu,Entrance - Per Person,15.00
280,indu,Commercial Entrance - Sedan,25.00
281,indu,Commercial Entrance - Van,40.00
282,indu,Commercial Entrance - Mini-bus,40.00
283,indu,Commercial Entrance - Motor Coach,100.00
284,isro,Entrance - Per Person,7.00
285,jame,Entrance - Per Person,30.00
286,jeff,Timed Entry Reservation - Location,19.00
287,jotr,Entrance - Private Vehicle,30.00
288,jotr,Entrance - Motorcycle,25.00
289,jotr,Entrance - Per Person,15.00
290,kemo,Entrance - Private Vehicle,5.00
291,kemo,Entrance - Per Person,5.00
292,labe,Entrance - Private Vehicle,25.00
293,labe,Entrance - Motorcycle,20.00
294,labe,Entrance - Per Person,15.00
295,lake,Entrance - Private Vehicle,25.00
296,lake,Entrance - Motorcycle,20.00
297,lake,Entrance - Per Person,15.00
298,lake,Entrance - Non-commercial Groups,15.00
299,lake,Entrance - Education/Academic Groups,0.00
300,lake,Commercial Entrance - Sedan,25.00
301,lake,Commercial Entrance - Van,50.00
302,lake,Commercial Entrance - Mini-bus,60.00
303,lake,Commercial Entrance - Motor Coach,150.00
304,lavo,Entrance - Private Vehicle,30.00
305,lavo,Entrance - Private Vehicle,10.00
306,lavo,Entrance - Motorcycle,25.00
307,lavo,Entrance - Per Person,15.00
308,lavo,Entrance - Education/Academic Groups,0.00
309,lavo,Commercial Entrance - Sedan,25.00
310,lavo,Commercial Entrance - Van,50.00
311,lavo,Commercial Entrance - Mini-bus,60.00
312,lavo,Commercial Entrance - Motor Coach,150.00
313,lavo,Entrance - Motorcycle,10.00
314,lavo,Entrance - Per Person,10.00
315,lewi,Entrance - Per Person,10.00
316,libi,Entrance - Private Vehicle,25.00
317,libi,Entrance - Motorcycle,20.00
318,libi,Entrance - Per Person,15.00
319,libi,Commercial Entrance - Sedan,25.00
320,libi,Commercial Entrance - Van,40.00
321,libi,Commercial Entrance - Mini-bus,40.00
322,libi,Commercial Entrance - Motor Coach,100.00
323,meve,Entrance - Private Vehicle,30.00
324,meve,Entrance - Motorcycle,25.00
325,meve,Entrance - Per Person,15.00
326,meve,Entrance - Private Vehicle,20.00
327,meve,Entrance - Per Person,15.00
328,meve,Entrance - Motorcycle,15.00
329,meve,Commercial Entrance - Motor Coach,25.00
330,moca,Entrance - Per Person,10.00
331,mora,Entrance - Private Vehicle,30.00
332,mora,Entrance - Per Person,15.00
333,mora,Entrance - Motorcycle,25.00
334,mora,Commercial Entrance - Sedan,30.00
335,mora,Commercial Entrance - Van,75.00
336,mora,Commercial Entrance - Mini-bus,100.00
337,mora,Commercial Entrance - Motor Coach,200.00
338,mora,Timed Entry Reservation - Location,2.00
339,mora,Timed Entry Reservation - Location,2.00
340,nabr,Entrance - Private Vehicle,20.00
341,nabr,Entrance - Motorcycle,15.00
342,nabr,Entrance - Per Person,10.00
343,olym,Entrance - Private Vehicle,30.00
344,olym,Entrance - Motorcycle,25.00
345,olym,Entrance - Per Person,15.00
346,olym,Commercial Entrance - Van,75.00
347,olym,Commercial Entrance - Mini-bus,100.00
348,olym,Commercial Entrance - Motor Coach,200.00
349,orpi,Entrance - Private Vehicle,25.00
350,orpi,Entrance - Motorcycle,20.00
351,orpi,Entrance - Per Person,15.00
352,pais,Commercial Entrance - Sedan,25.00
353,pais,Commercial Entrance - Van,40.00
354,pais,Commercial Entrance - Mini-bus,40.00
355,pais,Commercial Entrance - Motor Coach,100.00
356,pais,Entrance - Private Vehicle,25.00
357,pais,Entrance - Motorcycle,20.00
358,pais,Entrance - Per Person,15.00
359,pais,Entrance - Non-commercial Groups,15.00
360,pefo,Entrance - Private Vehicle,25.00
361,pefo,Entrance - Per Person,15.00
362,pefo,Entrance - Motorcycle,20.00
363,pefo,Commercial Entrance - Sedan,25.00
364,pefo,Commercial Entrance - Per Person,10.00
365,pefo,Commercial Entrance - Van,50.00
366,pefo,Commercial Entrance - Mini-bus,60.00
367,pefo,Commercial Entrance - Motor Coach,150.00
368,pefo,Entrance - Non-commercial Groups,15.00
369,pevi,Timed Entry Reservation - Location,10.00
370,pinn,Entrance - Private Vehicle,30.00
371,pinn,Entrance - Motorcycle,25.00
372,pinn,Entrance - Per Person,15.00
373,pinn,Entrance - Non-commercial Groups,15.00
374,pinn,Commercial Entrance - Sedan,30.00
375,pinn,Commercial Entrance - Van,40.00
376,pinn,Commercial Entrance - Mini-bus,40.00
377,pinn,Commercial Entrance - Motor Coach,100.00
378,pinn,Entrance - Education/Academic Groups,0.00
379,piro,Entrance - Private Vehicle,25.00
380,piro,Entrance - Motorcycle,20.00
381,piro,Entrance - Snowmobile,15.00
382,piro,Entrance - Per Person,15.00
383,piro,Commercial Entrance - Sedan,25.00
384,piro,Commercial Entrance - Van,40.00
385,piro,Commercial Entrance - Mini-bus,40.00
386,piro,Commercial Entrance - Motor Coach,100.00
387,pisp,Entrance - Per Person,10.00
388,prwi,Entrance - Private Vehicle,20.00
389,prwi,Entrance - Motorcycle,15.00
390,prwi,Entrance - Per Person,10.00
391,puho,Entrance - Private Vehicle,20.00
392,puho,Entrance - Motorcycle,15.00
393,puho,Entrance - Per Person,10.00
394,puho,Entrance - Education/Academic Groups,0.00
395,puho,Entrance - Non-commercial Groups,10.00
396,puho,Commercial Entrance - Per Person,10.00
