OBFCM data source,ID,OBFCM ReportingPeriod,Registration Year,Total fuel consumed (lifetime) (l),Total distance travelled (lifetime) (km),Total distance travelled in charge depleting operation with engine off (lifetime) (km),Total distance travelled in charge depleting operation with engine running (lifetime) (km),Total distance travelled in driver-selectable charge increasing operation (lifetime)  (km),Total fuel consumed in charge depleting operation (lifetime) (l),Total fuel consumed in driver-selectable charge increasing operation (lifetime) (l),Total grid energy into the battery (lifetime) (kWh),Used in calculation
OEM,10315851,2021,2021,2.75,21.5,NULL,NULL,NULL,NULL,NULL,NULL,0
OEM,10315852,2021,2021,6.53,35.6,NULL,NULL,NULL,NULL,NULL,NULL,0
OEM,10315858,2021,2021,99.18,995.5,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,10315863,2021,2021,2.8,10,NULL,NULL,NULL,NULL,NULL,NULL,0
OEM,10315874,2021,2021,444.88,4859.5,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,10315876,2021,2021,1431.27,15088,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,10315892,2021,2021,619.34,6713.5,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,10315895,2021,2021,345.88,3828.8,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,10283174,2021,2021,1710.64,32909.2,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766015,2021,2021,1578.98,33235.5,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766183,2021,2021,1212.59,20970,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766152,2021,2021,1142.78,24967.5,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766151,2021,2021,1082.53,18169.7,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,8405986,2021,2021,390.89,4707.5,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,8406488,2021,2021,1182.16,16984,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5694273,2021,2021,381,4882,0,0,0,0,0,0,1
OEM,5694188,2021,2021,42,570,0,0,0,0,0,0,1
OEM,9992671,2021,2021,1099.47,17031.6,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,10013996,2021,2021,961.56,13838.4,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,9977361,2021,2021,896.06,13998,NULL,NULL,NULL,NULL,NULL,NULL,1
